###################################################
# Classe 11 : K = 4, M = 2, T = 8, N = 10
# Exemplo: 3.   Nome do arquivo: c11ex03.dat          Semente: 6000

global Q1 = 1e5
global Q2 = 1e5
#-----------------------Parâmetros----------------------
global K = 4 # Gramaturas
global M = 2 # Bobinas mestres (máquinas)
global T = 8 # Períodos
global N = 10 # Itens

global L = [540, 460] # Larguras das bobinas mestres

global l = [64, 79, 90, 97, 110, 122, 134, 139, 143, 146] # Larguras dos itens

global rho = [2.0, 2.0, 2.0, 2.0] # Peso específico da bobina mestre

global b = [1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0] # Peso total da bobina mestre
#-----------------------Custos----------------------

# Custo de produção da bobina mestre
global c_x = [
1 1 1 22.788;
1 1 2 22.788;
1 1 3 22.788;
1 1 4 22.788;
1 1 5 22.788;
1 1 6 22.788;
1 1 7 22.788;
1 1 8 22.788;
1 2 1 22.264;
1 2 2 22.264;
1 2 3 22.264;
1 2 4 22.264;
1 2 5 22.264;
1 2 6 22.264;
1 2 7 22.264;
1 2 8 22.264;
2 1 1 19.548;
2 1 2 19.548;
2 1 3 19.548;
2 1 4 19.548;
2 1 5 19.548;
2 1 6 19.548;
2 1 7 19.548;
2 1 8 19.548;
2 2 1 19.227;
2 2 2 19.227;
2 2 3 19.227;
2 2 4 19.227;
2 2 5 19.227;
2 2 6 19.227;
2 2 7 19.227;
2 2 8 19.227;
3 1 1 19.872;
3 1 2 19.872;
3 1 3 19.872;
3 1 4 19.872;
3 1 5 19.872;
3 1 6 19.872;
3 1 7 19.872;
3 1 8 19.872;
3 2 1 21.252;
3 2 2 21.252;
3 2 3 21.252;
3 2 4 21.252;
3 2 5 21.252;
3 2 6 21.252;
3 2 7 21.252;
3 2 8 21.252;
4 1 1 25.596;
4 1 2 25.596;
4 1 3 25.596;
4 1 4 25.596;
4 1 5 25.596;
4 1 6 25.596;
4 1 7 25.596;
4 1 8 25.596;
4 2 1 22.907;
4 2 2 22.907;
4 2 3 22.907;
4 2 4 22.907;
4 2 5 22.907;
4 2 6 22.907;
4 2 7 22.907;
4 2 8 22.907;
]

# cw: custo de estocar uma bobina mestre
global c_w = [
1 1 1 0.01;
1 1 2 0.01;
1 1 3 0.01;
1 1 4 0.01;
1 1 5 0.01;
1 1 6 0.01;
